time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive,sarscov2_pct_positive,Season
2020-02-29,province,ns,18.45,15.46,NA,2019-2020
2020-02-29,province,mb,5.69,27.98,NA,2019-2020
2020-02-22,province,mb,7.45,72.14,NA,2019-2020
2020-02-22,province,nb,13.39,41.98,NA,2019-2020
2020-02-22,province,nl,13.49,24.65,NA,2019-2020
2020-02-22,province,ns,22.34,19.89,NA,2019-2020
2020-02-22,province,sk,0,0,NA,2019-2020
2020-02-22,province,pe,21.43,37.14,NA,2019-2020
2020-02-22,territory,yt,0,7.5,NA,2019-2020
2020-02-22,territory,nu,11.11,37.04,NA,2019-2020
2020-02-22,territory,nt,0,54.24,NA,2019-2020
2020-02-22,province,ab,0,26.93,NA,2019-2020
2020-02-15,province,sk,11.63,29.65,NA,2019-2020
2020-02-15,province,pe,17.02,39.36,NA,2019-2020
2020-02-15,territory,nt,0,45.71,NA,2019-2020
2020-02-15,territory,yt,0,10.77,NA,2019-2020
2020-02-15,territory,nu,0,41.94,NA,2019-2020
2020-02-15,province,ns,26.4,13.98,NA,2019-2020
2020-02-15,province,nl,0,0,NA,2019-2020
2020-02-15,province,nb,8.56,32.26,NA,2019-2020
2020-02-15,province,mb,8.16,23.54,NA,2019-2020
2020-02-15,province,ab,0,27.46,NA,2019-2020
2020-02-08,territory,nu,10.81,32.43,NA,2019-2020
2020-02-08,territory,yt,1.67,0,NA,2019-2020
2020-02-08,territory,nt,0,18.75,NA,2019-2020
2020-02-08,province,pe,19.44,23.61,NA,2019-2020
2020-02-08,province,sk,11.41,25.14,NA,2019-2020
2020-02-08,province,ab,0,28.86,NA,2019-2020
2020-02-08,province,mb,0,0,NA,2019-2020
2020-02-08,province,nb,11.67,39.66,NA,2019-2020
2020-02-08,province,nl,6.94,23.61,NA,2019-2020
2020-02-08,province,ns,21.99,17.71,NA,2019-2020
2020-01-25,province,ab,0,30.01,NA,2019-2020
2020-01-25,territory,nu,4.76,21.43,NA,2019-2020
2020-01-25,territory,yt,0,7.83,NA,2019-2020
2020-01-25,province,ns,22.22,9.03,NA,2019-2020
2020-01-25,province,pe,6,16,NA,2019-2020
2020-01-25,province,nb,13.19,24.07,NA,2019-2020
2020-01-25,province,nl,13.87,9.83,NA,2019-2020
2020-01-25,territory,nt,0,31.25,NA,2019-2020
2020-01-25,province,sk,5.74,26.7,NA,2019-2020
2020-01-25,province,mb,9.64,21.66,NA,2019-2020
2020-01-18,province,sk,6.82,28.04,NA,2019-2020
2020-01-18,province,pe,5.56,8.33,NA,2019-2020
2020-01-18,territory,yt,0,8.33,NA,2019-2020
2020-01-18,territory,nu,8.33,25,NA,2019-2020
2020-01-18,territory,nt,0,40,NA,2019-2020
2020-01-18,province,ab,0,28.75,NA,2019-2020
2020-01-18,province,ns,19.26,6.77,NA,2019-2020
2020-01-18,province,nl,8,14.4,NA,2019-2020
2020-01-18,province,nb,14.93,18.07,NA,2019-2020
2020-01-18,province,mb,7.59,26.9,NA,2019-2020
2020-01-04,province,mb,16.67,38.1,NA,2019-2020
2020-01-04,province,nb,16.41,15.15,NA,2019-2020
2020-01-04,province,nl,17.95,12.82,NA,2019-2020
2020-01-04,province,ns,8.21,10.61,NA,2019-2020
2020-01-04,province,ab,0,32.12,NA,2019-2020
2020-01-11,territory,nu,3.33,6.67,NA,2019-2020
